top_hotel_rank,name,country,city_location,state_region,category,hotel_type,luxury_category,short_description,description,official_website,booking_url,google_maps_url,best_time_to_visit,highlights,amenities,dining_information,spa_wellness,activities,why_we_recommend,is_featured,is_popular,is_international_top_50,is_top_hotel,is_india_top_50,display_order,status
1,Rosewood Hong Kong,Hong Kong,Hong Kong,Kowloon,Ultra Luxury & Iconic,Luxury Hotel / Resort,Ultra Luxury & Iconic,A stunning architectural icon on Victoria Harbour offering breathtaking views and legendary Rosewood hospitality.,"Occupying a prime waterfront location in Tsim Sha Tsui, Rosewood Hong Kong redefines ultra-luxury hospitality with its dramatic vertical estate concept, exquisite interiors by Tony Chi, and sweeping views of Victoria Harbour. Featuring world-class dining, immersive wellness concepts at Asaya, and bespoke butler service, it is a masterpiece of modern luxury.",https://www.rosewoodhotels.com/en/hong-kong,https://www.rosewoodhotels.com/en/hong-kong/reservations,https://maps.google.com/?q=Rosewood+Hong+Kong,October to December (Autumn),"Victoria Harbour views, Asaya wellness sanctuary, Infinity pool overlooking the skyline, Holt's Cafe, DarkSide bar.","Outdoor infinity pool, Asaya wellness center, 24-hour butler service, state-of-the-art fitness center, chauffeur service, pet-friendly amenities.","Holt's Cafe (British-Hong Kong tze char), The Butterfly Room, Legacy House (Cantonese), DarkSide (Cocktail bar).","Asaya holistic wellness center offering integrative wellness therapies, fitness classes, and advanced skincare.","Harbour cruises, bespoke art tours, wellness workshops, shopping excursions in Tsim Sha Tsui.","Unmatched harbour views, cutting-edge interior design, and legendary personalized service make it the pinnacle of modern luxury in Hong Kong.",TRUE,TRUE,TRUE,TRUE,FALSE,1,PUBLISHED
2,Aman New York,United States,New York,New York,Ultra Luxury & Iconic,Luxury Hotel / Resort,Ultra Luxury & Iconic,An urban sanctuary of serenity and discretion designed by Renzo Piano in the heart of Manhattan.,"Situated on West 57th Street, Aman New York brings the legendary peace and minimalist elegance of Aman to the vibrant energy of Manhattan. Housed within the historic Crown Building, it features expansive suites with private fireplaces, a three-story subterranean spa, and exclusive members' club spaces.",https://www.aman.com/hotels/aman-new-york,https://www.aman.com/hotels/aman-new-york/reservations,https://maps.google.com/?q=Aman+New+York,September to November & April to June,"Three-story subterranean spa, Japanese garden terrace, private fireplaces in suites, Arva Italian restaurant.","Indoor swimming pool, 25,000 sq ft spa, Japanese garden terrace, cigar lounge, wine library, chauffeured house car.","Arva (Italian fine dining), Nama (Japanese washoku), The Lounge & Bar.","Comprehensive Aman Spa featuring indoor pool, treatment houses, hydrotherapy, and holistic wellness programs.","Private Central Park tours, exclusive Broadway access, art gallery curation visits, fitness training.","It offers an unprecedented level of tranquility, privacy, and refined Asian hospitality right in the middle of Midtown Manhattan.",TRUE,TRUE,TRUE,TRUE,FALSE,2,PUBLISHED
3,Cheval Blanc Paris,France,Paris,Île-de-France,Ultra Luxury & Iconic,Luxury Hotel / Resort,Ultra Luxury & Iconic,An exquisite art deco masterpiece by Peter Marino overlooking the River Seine in Paris.,"Cheval Blanc Paris is a celebration of French art de vivre, combining historic architectural grandeur with contemporary chic. Located at Samaritaine, it offers breathtaking views of the Seine and iconic monuments, bespoke culinary experiences by Arnaud Donckele and Maxime Frédéric, and exclusive Dior Spa Cheval Blanc.",https://www.chevalblanc.com/en/maison/paris,https://www.chevalblanc.com/en/maison/paris/reservations,https://maps.google.com/?q=Cheval+Blanc+Paris,May to October (Spring/Summer),"Direct Seine views, Dior Spa Cheval Blanc, Plénitude (3-Michelin-star dining), indoor swimming pool.","Indoor swimming pool, Dior spa, valet parking, 24-hour butler service, private boat transfers.","Plénitude (3 Michelin stars), Le Tout-Paris (contemporary brasserie), Langosteria (Italian seafood).","Dior Spa Cheval Blanc featuring custom Dior treatments, vitality pools, and relaxation suites.","Private Seine yacht cruises, private shopping at Samaritaine, art and museum tours.","Unrivaled views of Paris landmarks, exceptional gastronomic offerings, and the couture touch of Dior make it the ultimate Parisian retreat.",TRUE,TRUE,TRUE,TRUE,FALSE,3,PUBLISHED
4,The Upper House,Hong Kong,Hong Kong,Admiralty,Ultra Luxury & Iconic,Luxury Hotel / Resort,Ultra Luxury & Iconic,"A tranquil minimalist sky palace perched above Pacific Place in Admiralty, Hong Kong.","Designed by visionary architect Andre Fu, The Upper House is an understated luxury hotel that feels like a chic private residence. Rooms feature natural wood, limestone bathrooms, and sweeping vistas of the harbor or verdant peaks, complemented by the vibrant Mediterranean restaurant Salisterra.",https://www.theupperhouse.com,https://www.theupperhouse.com/reservations,https://maps.google.com/?q=The+Upper+House+Hong+Kong,October to December,"The Lawn outdoor terrace, iconic limestone freestanding bathtubs with views, Salisterra restaurant, minimalist design.","24-hour fitness center, yoga studio, complimentary maxi bar, luxury house car transfers.","Salisterra (Mediterranean dining by Ricardo Chaneton), The Continental.","In-room wellness treatments, rooftop yoga classes, personalized wellness coaching.","Private hiking tours of Dragon's Back, bespoke city art tours, wellness sessions.","Its serene residential aesthetic, exceptional personalized service, and stunning skyline views offer a peaceful escape in the heart of the city.",TRUE,TRUE,TRUE,TRUE,FALSE,4,PUBLISHED
5,Raffles Singapore,Singapore,Singapore,Central Singapore,Ultra Luxury & Iconic,Luxury Hotel / Resort,Ultra Luxury & Iconic,"The legendary grande dame of Singapore, birthplace of the Singapore Sling and timeless colonial luxury.","Established in 1887, Raffles Singapore is an oasis of colonial architecture, lush tropical gardens, and legendary hospitality. Following a meticulous restoration, it continues to welcome global travelers with its iconic white facade, graceful suites, and world-class culinary partnerships.",https://www.raffles.com/singapore,https://www.raffles.com/singapore/reservations,https://maps.google.com/?q=Raffles+Singapore,February to April (Driest months),"Long Bar (birthplace of Singapore Sling), 24-hour Raffles butler service, historic colonial architecture, Tiffin Room.","Outdoor swimming pool, Raffles Spa, boutique arcade, 24-hour butler service, fitness studio.","Long Bar, Tiffin Room (North Indian), La Dame de Pic (Anne-Sophie Pic), BBR by Alain Ducasse.",Raffles Spa offering holistic Asian-inspired treatments and hydrothermal facilities.,"Historical heritage tours with resident historian, cocktail masterclasses, orchid garden tours.",A living legend of hospitality that seamlessly blends 19th-century colonial romance with ultra-modern luxury and butler service.,TRUE,TRUE,TRUE,TRUE,FALSE,5,PUBLISHED
6,Bulgari Tokyo,Japan,Tokyo,Tokyo,Ultra Luxury & Iconic,Luxury Hotel / Resort,Ultra Luxury & Iconic,A sophisticated urban sanctuary blending Italian flair with Japanese minimalism in Tokyo's Ginza.,"Bulgari Hotel Tokyo occupies the top floors of a sleek skyscraper in Yaesu, offering panoramic views of Mount Fuji and the Tokyo skyline. Featuring Italian design elements by Antonio Citterio Patricia Viel alongside exquisite Japanese craftsmanship, it is a statement of refined elegance.",https://www.bulgarihotels.com/en_US/tokyo,https://www.bulgarihotels.com/en_US/tokyo/booking,https://maps.google.com/?q=Bulgari+Hotel+Tokyo,March to May (Cherry blossom season) & October to November,"Bulgari Bar with rooftop terrace, Il Ristorante - Niko Romito, Bulgari Spa with indoor pool, Mount Fuji views.","Indoor swimming pool, Bulgari Spa, state-of-the-art gym, private cinema, chauffeur service.","Il Ristorante - Niko Romito (3 Michelin star chef concept), Bulgari Dolci, Sushi Hōseki.","Bulgari Spa featuring bespoke L.RAPHAEL treatments, thermal bath, and relaxation lounge.","Exclusive Ginza shopping tours, private tea ceremonies, architectural walks.",The ultimate fusion of Italian high jewellery glamour and Japanese precision craftsmanship high above Tokyo.,TRUE,TRUE,TRUE,TRUE,FALSE,6,PUBLISHED
7,Burj Al Arab Jumeirah,United Arab Emirates,Dubai,Dubai,Ultra Luxury & Iconic,Luxury Hotel / Resort,Ultra Luxury & Iconic,The world's most luxurious sail-shaped architectural marvel rising from its own artificial island in Dubai.,"Burj Al Arab Jumeirah is a global symbol of Arabian luxury, offering ultra-spacious duplex suites, a private beach, iconic terrace with infinity pools, and legendary chauffeur-driven Rolls-Royce transfers. Known for its gold-infused interiors and peerless VIP service.",https://www.jumeirah.com/en/stay/dubai/burj-al-arab-jumeirah,https://www.jumeirah.com/en/stay/dubai/burj-al-arab-jumeirah/booking,https://maps.google.com/?q=Burj+Al+Arab+Jumeirah+Dubai,November to March (Pleasantly warm),"Iconic sail architecture, private beach and deck with infinity pools, Rolls-Royce fleet, 24-karat gold interiors.","Private beach, Sal Beach Club, Talise Spa, Rolls-Royce airport transfers, helipad, butler service in every suite.","Al Muntaha (French/Italian fine dining), L'Olivo at Al Mahara (underwater aquarium dining), Sahn Eddar.","Talise Spa offering panoramic sea views, plunge pools, steam rooms, and luxury facial treatments.","Yacht charters, desert safaris, skydiving experiences, helicopter tours from the hotel helipad.",An undisputed icon of opulent architectural design and over-the-top VIP pampering.,TRUE,TRUE,TRUE,TRUE,FALSE,7,PUBLISHED
8,Hôtel Plaza Athénée,France,Paris,Île-de-France,Ultra Luxury & Iconic,Luxury Hotel / Resort,Ultra Luxury & Iconic,A legendary Parisian palace hotel on Avenue Montaigne famed for its red geraniums and haute couture legacy.,"Hôtel Plaza Athénée has been synonymous with Parisian elegance since 1913. Located on the haute couture avenue of Montaigne, it features classic Louis XVI and Art Deco decor, Dior Institute spa, and exceptional gastronomy curated by Jean Imbert.",https://www.dorchestercollection.com/paris/hotel-plaza-athenee,https://www.dorchestercollection.com/paris/hotel-plaza-athenee/reservations,https://maps.google.com/?q=Hotel+Plaza+Athenee+Paris,April to October,"Courtyard covered in red geraniums, Dior Spa Plaza Athénée, Jean Imbert restaurant, Eiffel Tower views from suites.","Dior spa, fitness center, valet parking, chauffeur-driven luxury cars, pet-friendly services.","Jean Imbert au Plaza Athénée, Le Relais Plaza (classic brasserie), La Cour Jardin, Le Bar.","Dior Institute offering bespoke anti-aging treatments, hammam, sauna, and relaxation rooms.","Private fashion house visits, haute couture fittings, Seine boat tours, pastry masterclasses.","The quintessential embodiment of Parisian chic, haute couture heritage, and unmatched luxury living on Avenue Montaigne.",TRUE,TRUE,TRUE,TRUE,FALSE,8,PUBLISHED
9,Claridge’s,United Kingdom,London,Greater London,Ultra Luxury & Iconic,Luxury Hotel / Resort,Ultra Luxury & Iconic,"Mayfair's historic art deco crown jewel, celebrated for timeless British tradition and bespoke glamour.","Claridge’s has enchanted guests with its art deco grandeur and impeccable English style for over a century. Located in the heart of Mayfair, it is renowned for its legendary afternoon tea, Fera culinary excellence, and exceptional personalized butler service.",https://www.claridges.co.uk,https://www.claridges.co.uk/booking,https://maps.google.com/?q=Claridges+London,May to September & December (Festive season),"Legendary Afternoon Tea in the Foyer, Claridge's Bar, art deco design by Guy Oliver, L'Abreuvoir spa.","Claridge's Spa, 24-hour butler service, health club, chauffeured Rolls-Royce, private event spaces.","Claridge's Restaurant, The Foyer & Reading Room, The Fumoir, Claridge's Bar.","Claridge's Spa featuring restorative wellness treatments, swimming pool, and sauna facilities.","Private Mayfair art gallery tours, bespoke shopping with royal warrant holders, historical hotel tours.","The absolute pinnacle of traditional British elegance, art deco heritage, and Mayfair sophistication.",TRUE,TRUE,TRUE,TRUE,FALSE,9,PUBLISHED
10,"The Ritz-Carlton, Kyoto",Japan,Kyoto,Kyoto Prefecture,Ultra Luxury & Iconic,Luxury Hotel / Resort,Ultra Luxury & Iconic,"A tranquil traditional Japanese ryokan-style luxury resort nestled in the historic hills of Arashiyama, Kyoto.","Overlooking the Oi River, The Ritz-Carlton, Kyoto combines modern five-star luxury with authentic Kyoto tradition. Featuring serene tatami-style rooms, exquisite kaiseki dining, and peaceful garden courtyards, it offers a deeply restorative retreat into Japanese culture.",https://www.ritzcarlton.com/en/hotels/japan/kyoto,https://www.ritzcarlton.com/en/hotels/japan/kyoto/reservations,https://maps.google.com/?q=The+Ritz-Carlton+Kyoto,March to May (Cherry blossom) & October to November (Autumn foliage),"River views of Arashiyama, Mizuki Japanese restaurant, traditional tea ceremonies, spa with indoor pool.","Indoor swimming pool, luxury spa, fitness center, bicycle rentals, traditional tea house.","Mizuki (Kaiseki, Sushi, Teppanyaki), La Baie (French fine dining), The Lobby Lounge.","The Ritz-Carlton Spa offering ESPA treatments, hydrotherapy pools, and Japanese ritual baths.","Private temple tours, Zen meditation sessions with monks, cycling along the Katsura River, kimono experiences.",Seamlessly integrates luxury hospitality with authentic Kyoto heritage along a serene river landscape.,TRUE,TRUE,TRUE,TRUE,FALSE,10,PUBLISHED
